threshold,K,mean_d_w_empirical,p95_d_w_empirical,p99_d_w_empirical,max_d_w_empirical,max_changed_surviving_nodes,max_component_size,max_degree_observed,kappa_hc_conservative_observed_degree,worst_entity_id,fraction_d_w_le_4,fraction_d_w_le_8,fraction_d_w_le_16,pair_precision,pair_recall,pair_f1,predicted_pairs,true_positive_pairs,total_true_pairs,exact_multi_entity_recovery,disclaimer
0.8,32,1.01125,1.0,2.0,2,1,6,5,2316,2608,1.0,1.0,1.0,0.9989010989010989,0.9400206825232679,0.9685668620138519,1820,1818,1934,0.9042056074766355,empirical deletion recourse is not a deterministic certificate
0.84,2,1.21775,3.0,5.0,6,0,6,5,156,2460,0.9835,1.0,1.0,1.0,0.06670113753877974,0.12506059137178865,129,129,1934,0.2383177570093458,empirical deletion recourse is not a deterministic certificate
0.84,4,1.07325,1.0,5.0,6,0,6,5,300,2460,0.98775,1.0,1.0,1.0,0.5910031023784902,0.7429314267143321,1143,1143,1934,0.7032710280373832,empirical deletion recourse is not a deterministic certificate
0.84,8,1.02175,1.0,2.0,3,0,6,5,588,113,1.0,1.0,1.0,1.0,0.8702171664943124,0.930605474149848,1683,1683,1934,0.7990654205607477,empirical deletion recourse is not a deterministic certificate
0.84,16,1.02175,1.0,2.0,3,0,6,5,1164,113,1.0,1.0,1.0,1.0,0.8702171664943124,0.930605474149848,1683,1683,1934,0.7990654205607477,empirical deletion recourse is not a deterministic certificate
0.84,32,1.02175,1.0,2.0,3,0,6,5,2316,113,1.0,1.0,1.0,1.0,0.8702171664943124,0.930605474149848,1683,1683,1934,0.7990654205607477,empirical deletion recourse is not a deterministic certificate
0.88,2,1.21575,3.0,5.0,6,0,6,5,156,2460,0.9835,1.0,1.0,1.0,0.07083764219234746,0.1323032351521004,137,137,1934,0.2336448598130841,empirical deletion recourse is not a deterministic certificate
0.88,4,1.0755,1.0,5.0,6,0,6,5,300,2460,0.98875,1.0,1.0,1.0,0.5796277145811789,0.7338788870703764,1121,1121,1934,0.6588785046728972,empirical deletion recourse is not a deterministic certificate
0.88,8,1.0285,1.0,2.0,3,0,6,5,588,455,1.0,1.0,1.0,1.0,0.8329886246122027,0.9088857545839211,1611,1611,1934,0.7429906542056075,empirical deletion recourse is not a deterministic certificate
0.88,16,1.0285,1.0,2.0,3,0,6,5,1164,455,1.0,1.0,1.0,1.0,0.8329886246122027,0.9088857545839211,1611,1611,1934,0.7429906542056075,empirical deletion recourse is not a deterministic certificate
0.88,32,1.0285,1.0,2.0,3,0,6,5,2316,455,1.0,1.0,1.0,1.0,0.8329886246122027,0.9088857545839211,1611,1611,1934,0.7429906542056075,empirical deletion recourse is not a deterministic certificate
