seed,epsilon,route,reference_person_count,deterministic_count,sensitivity,standard_laplace,noise,release,error,squared_error,absolute_relative_error
42004,1.0,stable-local,1002,1154,1.0,0.09487665923045986,0.09487665923045986,1154.0948766592305,152.09487665923052,23132.851505986546,0.15179129407108835
42004,1.0,naive-2c,1002,1002,2.0,0.09487665923045986,0.18975331846091972,1002.1897533184609,0.18975331846093013,0.03600632186693517,0.00018937456932228557
42004,1.0,unitscope,1002,1002,1.0,0.09487665923045986,0.09487665923045986,1002.0948766592304,0.09487665923040822,0.009001580466723006,9.468728466108605e-05
42004,4.0,stable-local,1002,1154,1.0,0.09487665923045986,0.023719164807614965,1154.0237191648075,152.02371916480752,23111.211188700265,0.15172027860759232
42004,4.0,naive-2c,1002,1002,2.0,0.09487665923045986,0.04743832961522993,1002.0474383296153,0.047438329615260955,0.0022503951166861443,4.734364233059976e-05
42004,4.0,unitscope,1002,1002,1.0,0.09487665923045986,0.023719164807614965,1002.0237191648076,0.023719164807630477,0.0005625987791715361,2.367182116529988e-05
42004,16.0,stable-local,1002,1154,1.0,0.09487665923045986,0.005929791201903741,1154.0059297912019,152.00592979120188,23105.802691687793,0.15170252474171844
42004,16.0,naive-2c,1002,1002,2.0,0.09487665923045986,0.011859582403807483,1002.0118595824038,0.011859582403758395,0.00014064969479153576,1.1835910582593209e-05
42004,16.0,unitscope,1002,1002,1.0,0.09487665923045986,0.005929791201903741,1002.0059297912019,0.005929791201879198,3.516242369788394e-05,5.917955291296604e-06
42005,1.0,stable-local,1002,1154,1.0,-0.9206544859442685,-0.9206544859442685,1153.0793455140558,151.07934551405583,22824.968640955463,0.15077778993418745
42005,1.0,naive-2c,1002,1002,2.0,-0.9206544859442685,-1.841308971888537,1000.1586910281114,-1.8413089718885658,3.390418729957327,0.0018376337044796066
42005,1.0,unitscope,1002,1002,1.0,-0.9206544859442685,-0.9206544859442685,1001.0793455140557,-0.9206544859442829,0.8476046824893317,0.0009188168522398033
42005,4.0,stable-local,1002,1154,1.0,-0.9206544859442685,-0.23016362148606712,1153.769836378514,151.7698363785139,23034.08323436088,0.15146690257336717
42005,4.0,naive-2c,1002,1002,2.0,-0.9206544859442685,-0.46032724297213423,1001.5396727570279,-0.4603272429720846,0.21190117062228062,0.00045940842611984494
42005,4.0,unitscope,1002,1002,1.0,-0.9206544859442685,-0.23016362148606712,1001.7698363785139,-0.23016362148609915,0.05297529265559632,0.0002297042130599792
42005,16.0,stable-local,1002,1154,1.0,-0.9206544859442685,-0.05754090537151678,1153.9424590946285,151.94245909462848,23086.510875722848,0.15163918073316215
42005,16.0,naive-2c,1002,1002,2.0,-0.9206544859442685,-0.11508181074303356,1001.884918189257,-0.11508181074304957,0.01324382316389908,0.0001148521065299896
42005,16.0,unitscope,1002,1002,1.0,-0.9206544859442685,-0.05754090537151678,1001.9424590946285,-0.057540905371524786,0.00331095579097477,5.74260532649948e-05
