dataset,replicate,seed,method,round,epsilon,metric_name,metric_value
femnist,7,107,naive-recalibrated-2c,20,2.456862121625803,user_macro_accuracy,0.145175
femnist,7,107,naive-recalibrated-2c,30,3.0456862121625807,user_macro_accuracy,0.12745
femnist,7,107,naive-recalibrated-2c,40,3.5289407275705784,user_macro_accuracy,0.16655625000000002
femnist,7,107,naive-recalibrated-2c,50,4.0,user_macro_accuracy,0.207225
femnist,7,107,unitscope-lambda-sweep,0,0.0,user_macro_accuracy,0.09575625
femnist,7,107,unitscope-lambda-sweep,10,1.7096469091901927,user_macro_accuracy,0.11676249999999999
femnist,7,107,unitscope-lambda-sweep,20,2.456862121625803,user_macro_accuracy,0.0911375
femnist,7,107,unitscope-lambda-sweep,30,3.0456862121625807,user_macro_accuracy,0.10285625
femnist,7,107,unitscope-lambda-sweep,40,3.5289407275705784,user_macro_accuracy,0.1536125
femnist,7,107,unitscope-lambda-sweep,50,4.0,user_macro_accuracy,0.20615625
femnist,7,107,handle-only-drop-residual,0,0.0,user_macro_accuracy,0.09575625
femnist,7,107,handle-only-drop-residual,10,1.7096469091901927,user_macro_accuracy,0.11691875
femnist,7,107,handle-only-drop-residual,20,2.456862121625803,user_macro_accuracy,0.08895
femnist,7,107,handle-only-drop-residual,30,3.0456862121625807,user_macro_accuracy,0.10285625
femnist,7,107,handle-only-drop-residual,40,3.5289407275705784,user_macro_accuracy,0.14928125
femnist,7,107,handle-only-drop-residual,50,4.0,user_macro_accuracy,0.20725000000000002
femnist,8,108,naive-recalibrated-2c,0,0.0,user_macro_accuracy,0.09578125
femnist,8,108,naive-recalibrated-2c,10,1.7096469091901927,user_macro_accuracy,0.09140625
femnist,8,108,naive-recalibrated-2c,20,2.456862121625803,user_macro_accuracy,0.099375
femnist,8,108,naive-recalibrated-2c,30,3.0456862121625807,user_macro_accuracy,0.141875
femnist,8,108,naive-recalibrated-2c,40,3.5289407275705784,user_macro_accuracy,0.1378125
femnist,8,108,naive-recalibrated-2c,50,4.0,user_macro_accuracy,0.0934375
femnist,8,108,unitscope-lambda-sweep,0,0.0,user_macro_accuracy,0.09578125
femnist,8,108,unitscope-lambda-sweep,10,1.7096469091901927,user_macro_accuracy,0.08046875
femnist,8,108,unitscope-lambda-sweep,20,2.456862121625803,user_macro_accuracy,0.11703125
femnist,8,108,unitscope-lambda-sweep,30,3.0456862121625807,user_macro_accuracy,0.1096875
femnist,8,108,unitscope-lambda-sweep,40,3.5289407275705784,user_macro_accuracy,0.14375
femnist,8,108,unitscope-lambda-sweep,50,4.0,user_macro_accuracy,0.11046875
femnist,8,108,stable-local-fallback,0,0.0,user_macro_accuracy,0.09578125
femnist,8,108,stable-local-fallback,10,1.7096469091901927,user_macro_accuracy,0.09484375
femnist,8,108,stable-local-fallback,20,2.456862121625803,user_macro_accuracy,0.133125
