seed,epsilon,route,reference_person_count,deterministic_count,deterministic_count_bias,deterministic_relative_bias,sensitivity,standard_laplace,noise,release,error,signed_relative_error,squared_error,absolute_relative_error
43007,4.0,naive-2c,1825,1825,0,0.0,2.0,-0.5949377501643098,-0.2974688750821549,1824.7025311249179,-0.2974688750821315,-0.00016299664388062,0.08848773164262874,0.00016299664388062
43007,16.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,-0.5949377501643098,-0.037183609385269364,1001.9628163906148,-823.0371836093852,-0.4509792786900741,677390.2056036689,0.4509792786900741
43007,16.0,unitscope,1825,1825,0,0.0,1.0,-0.5949377501643098,-0.037183609385269364,1824.9628163906148,-0.037183609385238015,-2.0374580485061927e-05,0.0013826208069139605,2.0374580485061927e-05
43007,16.0,naive-2c,1825,1825,0,0.0,2.0,-0.5949377501643098,-0.07436721877053873,1824.9256327812295,-0.07436721877047603,-4.074916097012385e-05,0.005530483227655842,4.074916097012385e-05
43008,1.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,0.2187938556528383,0.2187938556528383,1002.2187938556528,-822.7812061443472,-0.4508390170653957,676968.9131843466,0.4508390170653957
43008,1.0,unitscope,1825,1825,0,0.0,1.0,0.2187938556528383,0.2187938556528383,1825.2187938556528,0.21879385565284792,0.00011988704419334133,0.047870751271439256,0.00011988704419334133
43008,1.0,naive-2c,1825,1825,0,0.0,2.0,0.2187938556528383,0.4375877113056766,1825.4375877113057,0.43758771130569585,0.00023977408838668266,0.19148300508575702,0.00023977408838668266
43008,4.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,0.2187938556528383,0.05469846391320957,1002.0546984639132,-822.9453015360868,-0.45092893234854076,677238.9693203209,0.45092893234854076
43008,4.0,unitscope,1825,1825,0,0.0,1.0,0.2187938556528383,0.05469846391320957,1825.0546984639132,0.05469846391315514,2.9971761048304185e-05,0.002991921954458735,2.9971761048304185e-05
43008,4.0,naive-2c,1825,1825,0,0.0,2.0,0.2187938556528383,0.10939692782641915,1825.1093969278263,0.10939692782631028,5.994352209660837e-05,0.01196768781783494,5.994352209660837e-05
43008,16.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,0.2187938556528383,0.013674615978302393,1002.0136746159783,-822.9863253840217,-0.45095141116932697,677306.4917690948,0.45095141116932697
43008,16.0,unitscope,1825,1825,0,0.0,1.0,0.2187938556528383,0.013674615978302393,1825.0136746159783,0.013674615978288784,7.492940262076046e-06,0.00018699512215367093,7.492940262076046e-06
43008,16.0,naive-2c,1825,1825,0,0.0,2.0,0.2187938556528383,0.027349231956604787,1825.0273492319566,0.02734923195657757,1.4985880524152092e-05,0.0007479804886146837,1.4985880524152092e-05
43009,1.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,1.2877301108266985,1.2877301108266985,1003.2877301108267,-821.7122698891733,-0.45025329856941004,675211.0544864176,0.45025329856941004
43009,1.0,unitscope,1825,1825,0,0.0,1.0,1.2877301108266985,1.2877301108266985,1826.2877301108267,1.2877301108267147,0.0007056055401790217,1.658248838329783,0.0007056055401790217
43009,1.0,naive-2c,1825,1825,0,0.0,2.0,1.2877301108266985,2.575460221653397,1827.5754602216534,2.5754602216534295,0.0014112110803580435,6.632995353319132,0.0014112110803580435
43009,4.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,1.2877301108266985,0.32193252770667463,1002.3219325277066,-822.6780674722934,-0.45078250272454434,676799.2026999473,0.45078250272454434
43009,4.0,unitscope,1825,1825,0,0.0,1.0,1.2877301108266985,0.32193252770667463,1825.3219325277066,0.32193252770662184,0.0001764013850447243,0.10364055239557483,0.0001764013850447243
43009,4.0,naive-2c,1825,1825,0,0.0,2.0,1.2877301108266985,0.6438650554133493,1825.6438650554132,0.6438650554132437,0.0003528027700894486,0.41456220958229933,0.0003528027700894486
43009,16.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,1.2877301108266985,0.08048313192666866,1002.0804831319267,-822.9195168680733,-0.4509148037633278,677196.5312423832,0.4509148037633278
