method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
unitscope-tuned,this-work,user-certified,primary,606,0d43a48591b0b58ed62d407112b18ef2d9b6a7e3fcaf448780bbfadf2268b052,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.75,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1750,0,1750,1.0,3.654557553220376,0.030543800035957247,8.391637043072766e-05,0.00012926903105303132,gated-unitscope,0.0,c39cf5bb392f8a06c52df21042027dc144c5c94feb1d6b766ded518d13f8fc83
stable-local-fallback,this-work,user-certified,primary,607,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.723,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1723,0,1723,1.0,3.632011577391985,0.029004500014707446,7.131647810993452e-05,0.00010916189918567478,stable-local-fallback,0.0,f9e64602e47faa9ae0c671b055e74f463bf36c421caf121a14b9a64b9de8cfcb
unitscope-tuned,this-work,user-certified,primary,607,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.723,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3772489843296576,0.6227510156703424,1300,1541,0,2841,1.0,3.2533604210056932,0.042121500009670854,0.0001842911696902047,0.00019933188319412078,ungated-unitscope-lambda075,0.75,f9e64602e47faa9ae0c671b055e74f463bf36c421caf121a14b9a64b9de8cfcb
unitscope-tuned,this-work,user-certified,primary,607,0d43a48591b0b58ed62d407112b18ef2d9b6a7e3fcaf448780bbfadf2268b052,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.723,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1723,0,1723,1.0,3.632011577391985,0.030588500027079135,7.131647810993452e-05,0.00010916189918567478,gated-unitscope,0.0,f9e64602e47faa9ae0c671b055e74f463bf36c421caf121a14b9a64b9de8cfcb
stable-local-fallback,this-work,user-certified,primary,608,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.736,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1736,0,1736,1.0,4.068132309707936,0.030494100006762892,0.00010165967420356877,0.00015681443682293768,stable-local-fallback,0.0,0c66f5237cc62a45e51dde9b5f66f3a4e45a9e52309c065fec7accf8e2e5c200
unitscope-tuned,this-work,user-certified,primary,608,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.736,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3747119815668203,0.6252880184331797,1301,1557,0,2858,1.0,3.535825084136395,0.04258890001801774,0.0002507199317877256,0.0003034722825122532,ungated-unitscope-lambda075,0.75,0c66f5237cc62a45e51dde9b5f66f3a4e45a9e52309c065fec7accf8e2e5c200
unitscope-tuned,this-work,user-certified,primary,608,0d43a48591b0b58ed62d407112b18ef2d9b6a7e3fcaf448780bbfadf2268b052,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.736,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1736,0,1736,1.0,4.068132309707936,0.030170899990480393,0.00010165967420356877,0.00015681443682293768,gated-unitscope,0.0,0c66f5237cc62a45e51dde9b5f66f3a4e45a9e52309c065fec7accf8e2e5c200
stable-local-fallback,this-work,user-certified,primary,609,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1759,0,1759,1.0,5.685352966678168,0.029566599987447262,8.581240009781233e-05,0.00011847844981630921,stable-local-fallback,0.0,4efc0b792eb291abd85e0b3abd8ffc2ee77ee4b89fdb2a0cc3563cb3fbb399f6
unitscope-tuned,this-work,user-certified,primary,609,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37606594656054576,0.6239340534394542,1323,1577,0,2900,1.0,4.811068034737855,0.045149600016884506,0.0002930040235031503,0.00032038584652806083,ungated-unitscope-lambda075,0.75,4efc0b792eb291abd85e0b3abd8ffc2ee77ee4b89fdb2a0cc3563cb3fbb399f6
unitscope-tuned,this-work,user-certified,primary,609,0d43a48591b0b58ed62d407112b18ef2d9b6a7e3fcaf448780bbfadf2268b052,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1759,0,1759,1.0,5.685352966678168,0.029367899987846613,8.581240009781233e-05,0.00011847844981630921,gated-unitscope,0.0,4efc0b792eb291abd85e0b3abd8ffc2ee77ee4b89fdb2a0cc3563cb3fbb399f6
