stage,H,B,mixed_local_slots,target_epsilon,policy_lambda,method,deterministic_distortion_mean,deterministic_distortion_ci_lower,deterministic_distortion_ci_upper,noisy_aggregate_mse_mean,noisy_aggregate_mse_ci_lower,noisy_aggregate_mse_ci_upper,seeds,noise_multiplier,achieved_epsilon,realized_overlap_mean,realized_handle_user_fraction_mean,realized_record_coverage_mean,partial_handle_units_mean,local_atom_units_mean,local_mixed_units_mean,c_partial,c_local_atom,c_local_mixed
fallback_bound,2,4,True,8.0,0.75,stable-local-fallback,0.00069470579713643,0.0006328492117551065,0.000762868922924696,0.00074342034431787,0.000664643859762287,0.0008346443664097564,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,0.0,0.0,1746.5,0.375,0.0625,0.03125
fallback_bound,2,4,True,8.0,0.75,unitscope-tuned,0.00038372365870784,0.00035848295193674826,0.0004091889994454066,0.00043325546604,0.000401966190721826,0.0004647653179414262,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,1312.6,0.0,1555.8,0.375,0.0625,0.03125
fallback_bound,2,6,False,8.0,0.75,handle-only-drop-residual,0.0003629739967213,0.00032922121813051423,0.0003965369016951562,0.00041277726510978994,0.00038000473976160324,0.00045087048089834943,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,1312.6,0.0,0.0,0.375,0.0416666666666666,0.0208333333333333
fallback_bound,2,6,False,8.0,0.75,stable-local-fallback,0.0005898105100222799,0.0005373772630925604,0.0006473796752998796,0.0006374518969347099,0.0005699163432146295,0.0007160143188139935,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,0.0,1746.5,0.0,0.375,0.0416666666666666,0.0208333333333333
fallback_bound,2,6,False,8.0,0.75,unitscope-tuned,0.00036763705355217,0.00034288367463064,0.00039191085279354,0.00041690081056556,0.0003870583343205245,0.0004471480139508302,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,1312.6,1555.8,0.0,0.375,0.0416666666666666,0.0208333333333333
fallback_bound,2,6,True,8.0,0.75,handle-only-drop-residual,0.0003629739967213,0.00032935519013835426,0.0003959763778946269,0.00041277726510978994,0.00037970475575203823,0.00045047847641130085,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,1312.6,0.0,0.0,0.375,0.0416666666666666,0.0208333333333333
fallback_bound,2,6,True,8.0,0.75,stable-local-fallback,0.00080871569414727,0.0007371339555691272,0.0008877849971354314,0.0008585034015977299,0.0007685974575832664,0.000962878168482426,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,0.0,0.0,1746.5,0.375,0.0416666666666666,0.0208333333333333
fallback_bound,2,6,True,8.0,0.75,unitscope-tuned,0.00040027896783952,0.000373977164621915,0.0004259457975761183,0.00045007882549044,0.0004178921049315643,0.000482037620968839,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,1312.6,0.0,1555.8,0.375,0.0416666666666666,0.0208333333333333
fallback_bound,2,8,False,8.0,0.75,handle-only-drop-residual,0.0003629739967213,0.000329861006203608,0.0003966668042986892,0.00041277726510978994,0.00037992516956687246,0.0004516611267165832,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,1312.6,0.0,0.0,0.375,0.03125,0.015625
fallback_bound,2,8,False,8.0,0.75,stable-local-fallback,0.00069470579713643,0.0006332889326734401,0.0007642960351934862,0.00074342034431787,0.0006650428170351717,0.0008355221362366747,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,0.0,1746.5,0.0,0.375,0.03125,0.015625
fallback_bound,2,8,False,8.0,0.75,unitscope-tuned,0.00038372365870784,0.0003585143395468203,0.00040895552765816945,0.00043325546604,0.00040224245733974277,0.0004645760407152034,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,1312.6,1555.8,0.0,0.375,0.03125,0.015625
fallback_bound,2,8,True,8.0,0.75,handle-only-drop-residual,0.0003629739967213,0.000329161031756495,0.00039594282928755,0.00041277726510978994,0.0003797743587286617,0.00045125003320669097,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,1312.6,0.0,0.0,0.375,0.03125,0.015625
fallback_bound,2,8,True,8.0,0.75,stable-local-fallback,0.0008691386213639299,0.0007912819488333305,0.0009547433335007225,0.0009194629089489299,0.0008231575275642501,0.0010313611901602098,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,0.0,0.0,1746.5,0.375,0.03125,0.015625
fallback_bound,2,8,True,8.0,0.75,unitscope-tuned,0.00040873238639635,0.0003823299627684762,0.00043519117655392824,0.00045866626920667,0.00042557248006142544,0.0004909821549245223,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.5,1312.6,0.0,1555.8,0.375,0.03125,0.015625
handle_multiplicity,1,6,False,8.0,0.75,handle-only-drop-residual,0.00026122737271446996,0.00024358856833146223,0.0002776829407837812,0.00030686754899626994,0.000283781138719789,0.0003323277081528978,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.75,750.0,0.0,0.0,0.75,0.0416666666666666,0.0208333333333333
handle_multiplicity,1,6,False,8.0,0.75,stable-local-fallback,0.0005898105100222799,0.0005377352471099744,0.00064767150715561,0.0006374518969347099,0.0005703009332666299,0.00071577966979559,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.75,0.0,1746.5,0.0,0.75,0.0416666666666666,0.0208333333333333
handle_multiplicity,1,6,False,8.0,0.75,unitscope-tuned,0.00025875059505708995,0.00024060203285068005,0.0002782319491596352,0.00030506216036418,0.00028009420940041204,0.0003292204301302655,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.75,750.0,1501.9,0.0,0.75,0.0416666666666666,0.0208333333333333
handle_multiplicity,2,6,False,8.0,0.75,handle-only-drop-residual,0.00025970199671004,0.00024122315091234777,0.0002775813988930173,0.00030590963915088005,0.00028270068882011676,0.00033223909681315066,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.75,1500.0,0.0,0.0,0.375,0.0416666666666666,0.0208333333333333
handle_multiplicity,2,6,False,8.0,0.75,stable-local-fallback,0.0005898105100222799,0.0005380480475738913,0.0006468193578474343,0.0006374518969347099,0.0005703000701315067,0.0007151453204971985,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.75,0.0,1746.5,0.0,0.375,0.0416666666666666,0.0208333333333333
handle_multiplicity,2,6,False,8.0,0.75,unitscope-tuned,0.00026228107471575003,0.0002428774405096,0.0002830657810594217,0.00030901823964209,0.00028285074523594995,0.00033419526921235246,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.75,1500.0,1501.9,0.0,0.375,0.0416666666666666,0.0208333333333333
handle_multiplicity,4,6,False,8.0,0.75,handle-only-drop-residual,0.00028677364451668,0.00026656131639272003,0.00030713237870167565,0.00033276794626618,0.00030586018371402324,0.00035985306560312193,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.75,2812.6,0.0,0.0,0.1875,0.0416666666666666,0.0208333333333333
handle_multiplicity,4,6,False,8.0,0.75,stable-local-fallback,0.0005898105100222799,0.0005382881744094783,0.0006472036060282227,0.0006374518969347099,0.0005701445350908311,0.0007151437788284345,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.75,0.0,1746.5,0.0,0.1875,0.0416666666666666,0.0208333333333333
handle_multiplicity,4,6,False,8.0,0.75,unitscope-tuned,0.00030498240849292,0.00028229042746175,0.00033042372021781,0.00035155956790079,0.00032005745433543055,0.00038097703404311626,10,0.7415653755729036,8.0,0.7464999999999999,0.75,0.75,2812.6,1501.9,0.0,0.1875,0.0416666666666666,0.0208333333333333
privacy_level,2,4,False,1.0,0.75,handle-only-drop-residual,0.0003629739967213,0.0003296158965716403,0.0003964730980145415,0.0023104613154042194,0.002082598898336019,0.0025285596394551465,10,5.372451721071541,1.0,0.7464999999999999,0.75,0.5,1312.6,0.0,0.0,0.375,0.0625,0.03125
privacy_level,2,4,False,1.0,0.75,stable-local-fallback,0.00040736376548398,0.0003713779909430376,0.0004469699905938002,0.0023236392610589294,0.0020453221528753036,0.002638781024846042,10,5.372451721071541,1.0,0.7464999999999999,0.75,0.5,0.0,1746.5,0.0,0.375,0.0625,0.03125
privacy_level,2,4,False,1.0,0.75,unitscope-tuned,0.0003368699551688,0.00031338442150889175,0.0003596118078041097,0.00227656473957372,0.0020387315781088787,0.002519062980807925,10,5.372451721071541,1.0,0.7464999999999999,0.75,0.5,1312.6,1555.8,0.0,0.375,0.0625,0.03125
privacy_level,2,4,False,2.0,0.75,handle-only-drop-residual,0.0003629739967213,0.000329122055230165,0.0003959330355880597,0.0008899300684529099,0.0007978801495525907,0.0009747118403133067,10,2.7229591194317955,2.0,0.7464999999999999,0.75,0.5,1312.6,0.0,0.0,0.375,0.0625,0.03125
privacy_level,2,4,False,2.0,0.75,stable-local-fallback,0.00040736376548398,0.0003716760821525792,0.00044688224461034745,0.00091850051993207,0.0008007906348757805,0.0010625216803718425,10,2.7229591194317955,2.0,0.7464999999999999,0.75,0.5,0.0,1746.5,0.0,0.375,0.0625,0.03125
privacy_level,2,4,False,2.0,0.75,unitscope-tuned,0.0003368699551688,0.00031326315707525004,0.000359727300338713,0.0008598764795843402,0.00076640856941734,0.0009535595206768241,10,2.7229591194317955,2.0,0.7464999999999999,0.75,0.5,1312.6,1555.8,0.0,0.375,0.0625,0.03125
privacy_level,2,4,False,4.0,0.75,handle-only-drop-residual,0.0003629739967213,0.00032940777917478625,0.00039647386279950274,0.0005167770644309698,0.0004693464680926745,0.0005652512826614405,10,1.4049865329972953,4.0,0.7464999999999999,0.75,0.5,1312.6,0.0,0.0,0.375,0.0625,0.03125
privacy_level,2,4,False,4.0,0.75,stable-local-fallback,0.00040736376548398,0.00037135266675451995,0.000447089382627927,0.0005530044162164701,0.00048664257859913846,0.0006337665615717433,10,1.4049865329972953,4.0,0.7464999999999999,0.75,0.5,0.0,1746.5,0.0,0.375,0.0625,0.03125
privacy_level,2,4,False,4.0,0.75,unitscope-tuned,0.0003368699551688,0.00031395584108202866,0.0003595157923656122,0.00048863514403152,0.0004420893631339363,0.0005329544884965564,10,1.4049865329972953,4.0,0.7464999999999999,0.75,0.5,1312.6,1555.8,0.0,0.375,0.0625,0.03125
