q_user,q_record,rep,exact_q_user,exact_q_record,released_q_user,released_q_record,expected_cell,selected_cell,expected_lambda,selected_lambda,misclassified,selection_record,selection_sha256
0.25,0.75,4,0.24923076923076923,0.7499502190362406,0.30112882687757764,0.747657836550054,u0-r2,u0-r2,0.0,0.0,False,q025_r075_rep04.json,35e62b9cb5f41cec791d86131734a52db33b1c5581f55bbd6094a1f4c8941305
0.25,0.75,5,0.24923076923076923,0.7499502190362406,0.3019888151372826,0.73752446592942,u0-r2,u0-r2,0.0,0.0,False,q025_r075_rep05.json,c60476132979d4342ed1bf2f86f4d61aaf8064feb6070abb709c2e9d626d5ac0
0.25,0.75,6,0.24923076923076923,0.7499502190362406,0.23673000925779886,0.7505858060111931,u0-r2,u0-r2,0.0,0.0,False,q025_r075_rep06.json,737d1448e834b56d763562ac7c3a53369b75b4aaa38c5488ecc9cd6d69c50ef6
0.25,0.75,7,0.24923076923076923,0.7499502190362406,0.2482447380198275,0.7536770658510212,u0-r2,u0-r2,0.0,0.0,False,q025_r075_rep07.json,633181a903044a57dda4f5e154728d04beb612ab48280c8676924b3f926e757f
0.25,0.75,8,0.24923076923076923,0.7499502190362406,0.2577629446147084,0.7389269430253567,u0-r2,u0-r2,0.0,0.0,False,q025_r075_rep08.json,ce425b048d0685f31b6925d90defbc619e48c1730405312ce9b4bdf3fd2e3eaa
0.25,0.75,9,0.24923076923076923,0.7499502190362406,0.2998190954539516,0.7556762133039298,u0-r2,u0-r2,0.0,0.0,False,q025_r075_rep09.json,8709327c02e5ca412f9b656955d87fb6ddcdb0c83658f1677f7ddf3b237ba39f
0.5,0.25,0,0.5,0.25004962779156326,0.47253850727345426,0.3002209157386035,u1-r0,u1-r0,0.0,0.0,False,q050_r025_rep00.json,0759051d3fab6854401dc94a18b4a5efe08ecab7c37565dd5e308961a24a6bbb
0.5,0.25,1,0.5,0.25004962779156326,0.4921477426055301,0.2504657509389761,u1-r0,u1-r0,0.0,0.0,False,q050_r025_rep01.json,943a2045cb87f17ae28de5351cc7b860670f5828c552cead9d55688a6773ccc8
0.5,0.25,2,0.5,0.25004962779156326,0.49158918800405194,0.24559033851985543,u1-r0,u1-r0,0.0,0.0,False,q050_r025_rep02.json,64a7129043b4b4ca760cfbd35ea9eee7edb72371f8c8f24f6e743806d4bdfc10
0.5,0.25,3,0.5,0.25004962779156326,0.5052076418221451,0.2315621843879081,u1-r0,u1-r0,0.0,0.0,False,q050_r025_rep03.json,ece56d6da9ebeb8694d365363747f79b1780916b6f766342f2a7d028337762a1
