dataset,threshold,entity_id,deleted_records,touched_components,touched_records,deleted_group_tags,inserted_group_tags,witnessed_wur,changed_surviving_records
febrl2,0.72,2306,1,1,1,1,0,1,0
febrl2,0.72,2630,1,1,1,1,0,1,0
febrl2,0.72,3733,1,1,1,1,0,1,0
febrl2,0.72,2972,1,1,1,1,0,1,0
febrl2,0.72,1908,1,1,1,1,0,1,0
febrl2,0.72,79,1,1,1,1,0,1,0
febrl2,0.72,1109,1,1,1,1,0,1,0
febrl2,0.72,581,1,1,1,1,0,1,0
febrl2,0.72,2406,1,1,1,1,0,1,0
febrl2,0.72,2590,1,1,1,1,0,1,0
febrl2,0.72,1235,1,1,1,1,0,1,0
febrl2,0.72,207,1,1,1,1,0,1,0
febrl2,0.72,201,6,2,6,2,0,2,0
febrl2,0.72,3878,2,1,2,1,0,1,0
febrl2,0.72,1860,1,1,2,1,1,2,1
febrl2,0.72,2249,1,1,1,1,0,1,0
febrl2,0.72,1903,1,1,1,1,0,1,0
febrl2,0.72,985,1,1,1,1,0,1,0
febrl2,0.72,1873,1,1,1,1,0,1,0
febrl2,0.72,3329,1,1,1,1,0,1,0
febrl2,0.72,3214,1,1,1,1,0,1,0
febrl2,0.72,482,2,1,2,1,0,1,0
febrl2,0.72,1152,1,1,1,1,0,1,0
febrl2,0.72,2077,1,1,1,1,0,1,0
febrl2,0.72,3796,1,1,1,1,0,1,0
febrl2,0.72,1304,1,1,1,1,0,1,0
febrl2,0.72,2875,1,1,2,1,1,2,1
febrl2,0.72,2011,1,1,1,1,0,1,0
febrl2,0.72,1200,1,1,1,1,0,1,0
febrl2,0.72,151,3,1,3,1,0,1,0
febrl2,0.72,2845,1,1,1,1,0,1,0
febrl2,0.72,522,1,1,1,1,0,1,0
febrl2,0.72,1383,1,1,1,1,0,1,0
febrl2,0.72,765,1,1,1,1,0,1,0
febrl2,0.72,1670,1,1,1,1,0,1,0
febrl2,0.72,2822,4,1,5,1,1,2,1
febrl2,0.72,698,1,1,1,1,0,1,0
febrl2,0.72,488,1,1,1,1,0,1,0
febrl2,0.72,2618,1,1,1,1,0,1,0
febrl2,0.72,1319,3,1,3,1,0,1,0
febrl2,0.72,1577,1,1,1,1,0,1,0
