dataset,seed,method,round,metric_name,metric_value,run_id
movielens1m,410,naive-recalibrated-2c,0,user_macro_accuracy,0.48942329252275074,a5fa72db1a05a52b530ce3383daedc48f8d7f701d77aaefe4024d043e2e3df77
movielens1m,410,naive-recalibrated-2c,10,user_macro_accuracy,0.5083488388661611,a5fa72db1a05a52b530ce3383daedc48f8d7f701d77aaefe4024d043e2e3df77
movielens1m,410,naive-recalibrated-2c,20,user_macro_accuracy,0.4779146755175073,a5fa72db1a05a52b530ce3383daedc48f8d7f701d77aaefe4024d043e2e3df77
movielens1m,410,naive-recalibrated-2c,30,user_macro_accuracy,0.5085095460490786,a5fa72db1a05a52b530ce3383daedc48f8d7f701d77aaefe4024d043e2e3df77
movielens1m,410,naive-recalibrated-2c,40,user_macro_accuracy,0.49424279190974746,a5fa72db1a05a52b530ce3383daedc48f8d7f701d77aaefe4024d043e2e3df77
movielens1m,410,naive-recalibrated-2c,50,user_macro_accuracy,0.49057242424266084,a5fa72db1a05a52b530ce3383daedc48f8d7f701d77aaefe4024d043e2e3df77
movielens1m,411,naive-recalibrated-2c,0,user_macro_accuracy,0.512359032090288,ec32f4f8ea725685aad1f4b0d0647f2b6b7de71f03035bf55bce8f168cfebbda
movielens1m,411,naive-recalibrated-2c,10,user_macro_accuracy,0.5112502909578643,ec32f4f8ea725685aad1f4b0d0647f2b6b7de71f03035bf55bce8f168cfebbda
movielens1m,411,naive-recalibrated-2c,20,user_macro_accuracy,0.5140732588203563,ec32f4f8ea725685aad1f4b0d0647f2b6b7de71f03035bf55bce8f168cfebbda
movielens1m,411,naive-recalibrated-2c,30,user_macro_accuracy,0.5128240022386442,ec32f4f8ea725685aad1f4b0d0647f2b6b7de71f03035bf55bce8f168cfebbda
movielens1m,411,naive-recalibrated-2c,40,user_macro_accuracy,0.5107946210952167,ec32f4f8ea725685aad1f4b0d0647f2b6b7de71f03035bf55bce8f168cfebbda
movielens1m,411,naive-recalibrated-2c,50,user_macro_accuracy,0.5209360201289465,ec32f4f8ea725685aad1f4b0d0647f2b6b7de71f03035bf55bce8f168cfebbda
movielens1m,412,naive-recalibrated-2c,0,user_macro_accuracy,0.49499264027259887,d6eaff47fcdc0f7bf7823cfffbebae4d46a8864aab50b82def2832c83fd3b72a
movielens1m,412,naive-recalibrated-2c,10,user_macro_accuracy,0.49701403296628094,d6eaff47fcdc0f7bf7823cfffbebae4d46a8864aab50b82def2832c83fd3b72a
movielens1m,412,naive-recalibrated-2c,20,user_macro_accuracy,0.5026645693142278,d6eaff47fcdc0f7bf7823cfffbebae4d46a8864aab50b82def2832c83fd3b72a
movielens1m,412,naive-recalibrated-2c,30,user_macro_accuracy,0.5323776182982923,d6eaff47fcdc0f7bf7823cfffbebae4d46a8864aab50b82def2832c83fd3b72a
movielens1m,412,naive-recalibrated-2c,40,user_macro_accuracy,0.5175382293490973,d6eaff47fcdc0f7bf7823cfffbebae4d46a8864aab50b82def2832c83fd3b72a
movielens1m,412,naive-recalibrated-2c,50,user_macro_accuracy,0.5230560562762744,d6eaff47fcdc0f7bf7823cfffbebae4d46a8864aab50b82def2832c83fd3b72a
movielens1m,413,naive-recalibrated-2c,0,user_macro_accuracy,0.5106559030541481,3f7b0a76b8d1183cc46f8e0847eecf50806a34ab8269956765d883e8bcd885cf
movielens1m,413,naive-recalibrated-2c,10,user_macro_accuracy,0.5102799339142806,3f7b0a76b8d1183cc46f8e0847eecf50806a34ab8269956765d883e8bcd885cf
movielens1m,413,naive-recalibrated-2c,20,user_macro_accuracy,0.49778267919942437,3f7b0a76b8d1183cc46f8e0847eecf50806a34ab8269956765d883e8bcd885cf
movielens1m,413,naive-recalibrated-2c,30,user_macro_accuracy,0.5004972055412643,3f7b0a76b8d1183cc46f8e0847eecf50806a34ab8269956765d883e8bcd885cf
movielens1m,413,naive-recalibrated-2c,40,user_macro_accuracy,0.5153972350680185,3f7b0a76b8d1183cc46f8e0847eecf50806a34ab8269956765d883e8bcd885cf
movielens1m,413,naive-recalibrated-2c,50,user_macro_accuracy,0.5126377134040262,3f7b0a76b8d1183cc46f8e0847eecf50806a34ab8269956765d883e8bcd885cf
movielens1m,414,naive-recalibrated-2c,0,user_macro_accuracy,0.507106858149167,10599c14efff0b2d28356644ec751da80333bfc7a8a0cdb408326644dd260955
movielens1m,414,naive-recalibrated-2c,10,user_macro_accuracy,0.5116062113747368,10599c14efff0b2d28356644ec751da80333bfc7a8a0cdb408326644dd260955
movielens1m,414,naive-recalibrated-2c,20,user_macro_accuracy,0.5117022837846384,10599c14efff0b2d28356644ec751da80333bfc7a8a0cdb408326644dd260955
movielens1m,414,naive-recalibrated-2c,30,user_macro_accuracy,0.5095243231744948,10599c14efff0b2d28356644ec751da80333bfc7a8a0cdb408326644dd260955
movielens1m,414,naive-recalibrated-2c,40,user_macro_accuracy,0.5116880705430981,10599c14efff0b2d28356644ec751da80333bfc7a8a0cdb408326644dd260955
movielens1m,414,naive-recalibrated-2c,50,user_macro_accuracy,0.5070794729750764,10599c14efff0b2d28356644ec751da80333bfc7a8a0cdb408326644dd260955
movielens1m,415,naive-recalibrated-2c,0,user_macro_accuracy,0.49472946744511714,b7f3f8b73d3b0e6210a7f0201ab0127d15a799fb0e2fa5405acde12b4a4eff2d
movielens1m,415,naive-recalibrated-2c,10,user_macro_accuracy,0.5085854726641171,b7f3f8b73d3b0e6210a7f0201ab0127d15a799fb0e2fa5405acde12b4a4eff2d
movielens1m,415,naive-recalibrated-2c,20,user_macro_accuracy,0.509634714139888,b7f3f8b73d3b0e6210a7f0201ab0127d15a799fb0e2fa5405acde12b4a4eff2d
movielens1m,415,naive-recalibrated-2c,30,user_macro_accuracy,0.5172681039845025,b7f3f8b73d3b0e6210a7f0201ab0127d15a799fb0e2fa5405acde12b4a4eff2d
movielens1m,415,naive-recalibrated-2c,40,user_macro_accuracy,0.518733652049879,b7f3f8b73d3b0e6210a7f0201ab0127d15a799fb0e2fa5405acde12b4a4eff2d
movielens1m,415,naive-recalibrated-2c,50,user_macro_accuracy,0.5181082512262096,b7f3f8b73d3b0e6210a7f0201ab0127d15a799fb0e2fa5405acde12b4a4eff2d
movielens1m,416,naive-recalibrated-2c,0,user_macro_accuracy,0.5056569907009654,cac5806d4d1a7b432ca478f3bdaf9b3069cb67cab925e7a433646ab4ca41c906
movielens1m,416,naive-recalibrated-2c,10,user_macro_accuracy,0.5166561202475777,cac5806d4d1a7b432ca478f3bdaf9b3069cb67cab925e7a433646ab4ca41c906
movielens1m,416,naive-recalibrated-2c,20,user_macro_accuracy,0.4863977683601876,cac5806d4d1a7b432ca478f3bdaf9b3069cb67cab925e7a433646ab4ca41c906
movielens1m,416,naive-recalibrated-2c,30,user_macro_accuracy,0.4836768526771808,cac5806d4d1a7b432ca478f3bdaf9b3069cb67cab925e7a433646ab4ca41c906
movielens1m,416,naive-recalibrated-2c,40,user_macro_accuracy,0.504084993329609,cac5806d4d1a7b432ca478f3bdaf9b3069cb67cab925e7a433646ab4ca41c906
movielens1m,416,naive-recalibrated-2c,50,user_macro_accuracy,0.5161853918539122,cac5806d4d1a7b432ca478f3bdaf9b3069cb67cab925e7a433646ab4ca41c906
movielens1m,417,naive-recalibrated-2c,0,user_macro_accuracy,0.5015961887780437,1cddb1a582d982837c6c83605b742db8d684568859e5d711463e2610e261c89f
movielens1m,417,naive-recalibrated-2c,10,user_macro_accuracy,0.5139921239495711,1cddb1a582d982837c6c83605b742db8d684568859e5d711463e2610e261c89f
movielens1m,417,naive-recalibrated-2c,20,user_macro_accuracy,0.5088986022318991,1cddb1a582d982837c6c83605b742db8d684568859e5d711463e2610e261c89f
movielens1m,417,naive-recalibrated-2c,30,user_macro_accuracy,0.5087510724093289,1cddb1a582d982837c6c83605b742db8d684568859e5d711463e2610e261c89f
movielens1m,417,naive-recalibrated-2c,40,user_macro_accuracy,0.49610503282562946,1cddb1a582d982837c6c83605b742db8d684568859e5d711463e2610e261c89f
movielens1m,417,naive-recalibrated-2c,50,user_macro_accuracy,0.496355984418619,1cddb1a582d982837c6c83605b742db8d684568859e5d711463e2610e261c89f
