"family","dataset","dirichlet_alpha","seed","method","round","metric_name","metric_value"
"credible-accuracy-epsilon8-v1","femnist","","124","stable-local-fallback","50","user_macro_accuracy","0.1028125"
"credible-accuracy-epsilon8-v1","femnist","","125","handle-only-drop-residual","0","user_macro_accuracy","0.1134375"
"credible-accuracy-epsilon8-v1","femnist","","125","handle-only-drop-residual","10","user_macro_accuracy","0.13265625"
"credible-accuracy-epsilon8-v1","femnist","","125","handle-only-drop-residual","20","user_macro_accuracy","0.16890625"
"credible-accuracy-epsilon8-v1","femnist","","125","handle-only-drop-residual","30","user_macro_accuracy","0.196875"
"credible-accuracy-epsilon8-v1","femnist","","125","handle-only-drop-residual","40","user_macro_accuracy","0.14703125"
"credible-accuracy-epsilon8-v1","femnist","","125","handle-only-drop-residual","50","user_macro_accuracy","0.3259375"
"credible-accuracy-epsilon8-v1","femnist","","125","naive-recalibrated-2c","0","user_macro_accuracy","0.1134375"
"credible-accuracy-epsilon8-v1","femnist","","125","naive-recalibrated-2c","10","user_macro_accuracy","0.11921875"
"credible-accuracy-epsilon8-v1","femnist","","125","naive-recalibrated-2c","20","user_macro_accuracy","0.23078125"
"credible-accuracy-epsilon8-v1","femnist","","125","naive-recalibrated-2c","30","user_macro_accuracy","0.20546875"
"credible-accuracy-epsilon8-v1","femnist","","125","naive-recalibrated-2c","40","user_macro_accuracy","0.255625"
"credible-accuracy-epsilon8-v1","femnist","","125","naive-recalibrated-2c","50","user_macro_accuracy","0.36421875"
"credible-accuracy-epsilon8-v1","femnist","","125","stable-local-fallback","0","user_macro_accuracy","0.1134375"
"credible-accuracy-epsilon8-v1","femnist","","125","stable-local-fallback","10","user_macro_accuracy","0.18796875"
"credible-accuracy-epsilon8-v1","femnist","","125","stable-local-fallback","20","user_macro_accuracy","0.16421875"
"credible-accuracy-epsilon8-v1","femnist","","125","stable-local-fallback","30","user_macro_accuracy","0.186875"
"credible-accuracy-epsilon8-v1","femnist","","125","stable-local-fallback","40","user_macro_accuracy","0.1221875"
"credible-accuracy-epsilon8-v1","femnist","","125","stable-local-fallback","50","user_macro_accuracy","0.21921875"
"credible-accuracy-epsilon8-v1","femnist","","125","unitscope-lambda-sweep","0","user_macro_accuracy","0.1134375"
"credible-accuracy-epsilon8-v1","femnist","","125","unitscope-lambda-sweep","10","user_macro_accuracy","0.134375"
"credible-accuracy-epsilon8-v1","femnist","","125","unitscope-lambda-sweep","20","user_macro_accuracy","0.168125"
"credible-accuracy-epsilon8-v1","femnist","","125","unitscope-lambda-sweep","30","user_macro_accuracy","0.19625"
"credible-accuracy-epsilon8-v1","femnist","","125","unitscope-lambda-sweep","40","user_macro_accuracy","0.13828125"
"credible-accuracy-epsilon8-v1","femnist","","125","unitscope-lambda-sweep","50","user_macro_accuracy","0.31359375"
"credible-accuracy-epsilon8-v1","femnist","","126","handle-only-drop-residual","0","user_macro_accuracy","0.088125"
"credible-accuracy-epsilon8-v1","femnist","","126","handle-only-drop-residual","10","user_macro_accuracy","0.09765625"
"credible-accuracy-epsilon8-v1","femnist","","126","handle-only-drop-residual","20","user_macro_accuracy","0.09375"
"credible-accuracy-epsilon8-v1","femnist","","126","handle-only-drop-residual","30","user_macro_accuracy","0.116875"
"credible-accuracy-epsilon8-v1","femnist","","126","handle-only-drop-residual","40","user_macro_accuracy","0.19703125"
"credible-accuracy-epsilon8-v1","femnist","","126","handle-only-drop-residual","50","user_macro_accuracy","0.191875"
"credible-accuracy-epsilon8-v1","femnist","","126","naive-recalibrated-2c","0","user_macro_accuracy","0.088125"
"credible-accuracy-epsilon8-v1","femnist","","126","naive-recalibrated-2c","10","user_macro_accuracy","0.09890625"
"credible-accuracy-epsilon8-v1","femnist","","126","naive-recalibrated-2c","20","user_macro_accuracy","0.11984375"
"credible-accuracy-epsilon8-v1","femnist","","126","naive-recalibrated-2c","30","user_macro_accuracy","0.1525"
"credible-accuracy-epsilon8-v1","femnist","","126","naive-recalibrated-2c","40","user_macro_accuracy","0.1496875"
"credible-accuracy-epsilon8-v1","femnist","","126","naive-recalibrated-2c","50","user_macro_accuracy","0.2065625"
"credible-accuracy-epsilon8-v1","femnist","","126","stable-local-fallback","0","user_macro_accuracy","0.088125"
"credible-accuracy-epsilon8-v1","femnist","","126","stable-local-fallback","10","user_macro_accuracy","0.09984375"
"credible-accuracy-epsilon8-v1","femnist","","126","stable-local-fallback","20","user_macro_accuracy","0.09453125"
"credible-accuracy-epsilon8-v1","femnist","","126","stable-local-fallback","30","user_macro_accuracy","0.080625"
"credible-accuracy-epsilon8-v1","femnist","","126","stable-local-fallback","40","user_macro_accuracy","0.20984375"
"credible-accuracy-epsilon8-v1","femnist","","126","stable-local-fallback","50","user_macro_accuracy","0.12953125"
"credible-accuracy-epsilon8-v1","femnist","","126","unitscope-lambda-sweep","0","user_macro_accuracy","0.088125"
"credible-accuracy-epsilon8-v1","femnist","","126","unitscope-lambda-sweep","10","user_macro_accuracy","0.09828125"
"credible-accuracy-epsilon8-v1","femnist","","126","unitscope-lambda-sweep","20","user_macro_accuracy","0.09390625"
"credible-accuracy-epsilon8-v1","femnist","","126","unitscope-lambda-sweep","30","user_macro_accuracy","0.11796875"
"credible-accuracy-epsilon8-v1","femnist","","126","unitscope-lambda-sweep","40","user_macro_accuracy","0.1875"
"credible-accuracy-epsilon8-v1","femnist","","126","unitscope-lambda-sweep","50","user_macro_accuracy","0.1809375"
"credible-accuracy-epsilon8-v1","femnist","","127","stable-local-fallback","0","user_macro_accuracy","0.11625"
"credible-accuracy-epsilon8-v1","femnist","","127","stable-local-fallback","10","user_macro_accuracy","0.10421875"
"credible-accuracy-epsilon8-v1","femnist","","127","stable-local-fallback","20","user_macro_accuracy","0.10234375"
"credible-accuracy-epsilon8-v1","femnist","","127","stable-local-fallback","30","user_macro_accuracy","0.1025"
"credible-accuracy-epsilon8-v1","femnist","","127","stable-local-fallback","40","user_macro_accuracy","0.09734375"
"credible-accuracy-epsilon8-v1","femnist","","127","stable-local-fallback","50","user_macro_accuracy","0.1578125"
"credible-accuracy-epsilon8-v1","femnist","","127","handle-only-drop-residual","0","user_macro_accuracy","0.11625"
"credible-accuracy-epsilon8-v1","femnist","","127","handle-only-drop-residual","10","user_macro_accuracy","0.10421875"
"credible-accuracy-epsilon8-v1","femnist","","127","handle-only-drop-residual","20","user_macro_accuracy","0.10375"
"credible-accuracy-epsilon8-v1","femnist","","127","handle-only-drop-residual","30","user_macro_accuracy","0.13453125"
"credible-accuracy-epsilon8-v1","femnist","","127","handle-only-drop-residual","40","user_macro_accuracy","0.13421875"
"credible-accuracy-epsilon8-v1","femnist","","127","handle-only-drop-residual","50","user_macro_accuracy","0.1890625"
"credible-accuracy-epsilon8-v1","femnist","","127","naive-recalibrated-2c","0","user_macro_accuracy","0.11625"
"credible-accuracy-epsilon8-v1","femnist","","127","naive-recalibrated-2c","10","user_macro_accuracy","0.10421875"
"credible-accuracy-epsilon8-v1","femnist","","127","naive-recalibrated-2c","20","user_macro_accuracy","0.07359375"
"credible-accuracy-epsilon8-v1","femnist","","127","naive-recalibrated-2c","30","user_macro_accuracy","0.12796875"
"credible-accuracy-epsilon8-v1","femnist","","127","naive-recalibrated-2c","40","user_macro_accuracy","0.1640625"
"credible-accuracy-epsilon8-v1","femnist","","127","naive-recalibrated-2c","50","user_macro_accuracy","0.20625"
"credible-accuracy-epsilon8-v1","femnist","","127","unitscope-lambda-sweep","0","user_macro_accuracy","0.11625"
"credible-accuracy-epsilon8-v1","femnist","","127","unitscope-lambda-sweep","10","user_macro_accuracy","0.10421875"
"credible-accuracy-epsilon8-v1","femnist","","127","unitscope-lambda-sweep","20","user_macro_accuracy","0.1034375"
"credible-accuracy-epsilon8-v1","femnist","","127","unitscope-lambda-sweep","30","user_macro_accuracy","0.1315625"
"credible-accuracy-epsilon8-v1","femnist","","127","unitscope-lambda-sweep","40","user_macro_accuracy","0.13890625"
"credible-accuracy-epsilon8-v1","femnist","","127","unitscope-lambda-sweep","50","user_macro_accuracy","0.18578125"
"credible-accuracy-epsilon8-v1","femnist","","128","handle-only-drop-residual","0","user_macro_accuracy","0.09731875000000001"
"credible-accuracy-epsilon8-v1","femnist","","128","handle-only-drop-residual","10","user_macro_accuracy","0.10078125"
"credible-accuracy-epsilon8-v1","femnist","","128","handle-only-drop-residual","20","user_macro_accuracy","0.11723125"
"credible-accuracy-epsilon8-v1","femnist","","128","handle-only-drop-residual","30","user_macro_accuracy","0.12180624999999999"
"credible-accuracy-epsilon8-v1","femnist","","128","handle-only-drop-residual","40","user_macro_accuracy","0.18928125"
"credible-accuracy-epsilon8-v1","femnist","","128","handle-only-drop-residual","50","user_macro_accuracy","0.17961875"
"credible-accuracy-epsilon8-v1","femnist","","128","naive-recalibrated-2c","0","user_macro_accuracy","0.09731875000000001"
"credible-accuracy-epsilon8-v1","femnist","","128","naive-recalibrated-2c","10","user_macro_accuracy","0.10521875"
"credible-accuracy-epsilon8-v1","femnist","","128","naive-recalibrated-2c","20","user_macro_accuracy","0.132275"
"credible-accuracy-epsilon8-v1","femnist","","128","naive-recalibrated-2c","30","user_macro_accuracy","0.129525"
