dataset,replicate,seed,method,metric_name,metric_value,people,records
synthea,14,114,stable-local-fallback,patient_auprc,0.23769947507717926,787,1725
synthea,14,114,naive-recalibrated-2c,patient_auprc,0.25351125627002696,787,1725
synthea,14,114,handle-only-drop-residual,patient_auprc,0.2668752339244584,787,1725
synthea,14,114,unitscope-lambda-sweep,patient_auprc,0.26627081498770244,787,1725
synthea,15,115,unitscope-lambda-sweep,patient_auprc,0.2424563530821044,728,1448
synthea,15,115,naive-recalibrated-2c,patient_auprc,0.21337670412579107,728,1448
synthea,15,115,handle-only-drop-residual,patient_auprc,0.2450736332734944,728,1448
synthea,15,115,stable-local-fallback,patient_auprc,0.18983591310117437,728,1448
synthea,16,116,naive-recalibrated-2c,patient_auprc,0.2340315738913564,764,1618
synthea,16,116,handle-only-drop-residual,patient_auprc,0.2224280697152674,764,1618
synthea,16,116,stable-local-fallback,patient_auprc,0.1844518695860506,764,1618
synthea,16,116,unitscope-lambda-sweep,patient_auprc,0.2214816457108071,764,1618
synthea,17,117,naive-recalibrated-2c,patient_auprc,0.30943404290244864,776,1643
synthea,17,117,stable-local-fallback,patient_auprc,0.2548921906967146,776,1643
synthea,17,117,handle-only-drop-residual,patient_auprc,0.30248064498556304,776,1643
synthea,17,117,unitscope-lambda-sweep,patient_auprc,0.30445096933609905,776,1643
synthea,18,118,handle-only-drop-residual,patient_auprc,0.23694676361356595,756,1796
synthea,18,118,unitscope-lambda-sweep,patient_auprc,0.23739003035768058,756,1796
synthea,18,118,stable-local-fallback,patient_auprc,0.2275847661819011,756,1796
synthea,18,118,naive-recalibrated-2c,patient_auprc,0.24598835933329266,756,1796
synthea,19,119,handle-only-drop-residual,patient_auprc,0.20938064163444844,772,1770
synthea,19,119,stable-local-fallback,patient_auprc,0.19833057037936946,772,1770
synthea,19,119,naive-recalibrated-2c,patient_auprc,0.21459673645950672,772,1770
synthea,19,119,unitscope-lambda-sweep,patient_auprc,0.20660272745369984,772,1770
