dataset,replicate,seed,method,metric_name,metric_value,residual_norm_share,residual_clip_saturation_rate,residual_only_subgroup_metric,residual_only_subgroup_people,residual_only_subgroup_records,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,residual_clip_fraction,clip_fraction,noise_multiplier,epsilon,delta,rounds,run_id,config_hash,manifest_hash
femnist,8,108,unitscope-lambda-sweep,user_macro_accuracy,0.11046875,0.043364891520495455,1.0,0.1196875,100,3200,1.0,0.2487109375,0.7512890625,0.9999999845027924,0.9999999797344208,9.214933748786253,4.0,1e-05,,2f8ad92d8c7611c37519441a146d55e5252bcf6d3cf497f7c8750710f49fbd4c,8cc64f58a457cf39daf0d37a624bf484a8ed9e9378a65abbc335a201d85ac3a5,db84b32e3c989a2bc346c55b1e73d30aabae4ec4f64d9c69da6f88170ee5cea7
femnist,8,108,naive-recalibrated-2c,user_macro_accuracy,0.0934375,0.3184547455223571,0.9993741394417324,0.08875,100,3200,1.0,0.2487109375,0.7512890625,0.9993920814990997,0.9991236186027527,9.214933748786253,4.0,1e-05,,43b062f28ccd679a46ff94380848fd3dc57953d605abd7f230fea253365de061,8cc64f58a457cf39daf0d37a624bf484a8ed9e9378a65abbc335a201d85ac3a5,db84b32e3c989a2bc346c55b1e73d30aabae4ec4f64d9c69da6f88170ee5cea7
femnist,8,108,handle-only-drop-residual,user_macro_accuracy,0.1140625,0.0,,0.120625,100,3200,0.2487109375,0.2487109375,0.0,0.0,0.9999999856948852,9.214933748786253,4.0,1e-05,,d1ce8f50bd30202b5997cf236a7504983a57e713f756005d8796a9b7742a0144,8cc64f58a457cf39daf0d37a624bf484a8ed9e9378a65abbc335a201d85ac3a5,db84b32e3c989a2bc346c55b1e73d30aabae4ec4f64d9c69da6f88170ee5cea7
femnist,8,108,stable-local-fallback,user_macro_accuracy,0.0965625,1.0,1.0,0.1,100,3200,1.0,0.0,1.0,0.9999999976158143,0.9999999976158143,9.214933748786253,4.0,1e-05,,e1595f8a2e6213235f614cad0e936cb0d34abfb200379de32afc7637d6460f0d,8cc64f58a457cf39daf0d37a624bf484a8ed9e9378a65abbc335a201d85ac3a5,db84b32e3c989a2bc346c55b1e73d30aabae4ec4f64d9c69da6f88170ee5cea7
femnist,9,109,naive-recalibrated-2c,user_macro_accuracy,0.113125,0.30916012972640505,1.0,0.115625,100,3200,1.0,0.247109375,0.752890625,0.9999999833106995,0.9999516689777375,9.214933748786253,4.0,1e-05,,3b29bf97a4e66cfa6e5476ec7d7ec5bd8f72d982d4ce3219282d9cc3aac3d007,23f6f31668b20f841780075ebb4efa9d40d2ec96597937510341e707658bac54,2b231dbad47f38bd391043b8c728d3d2ec5150650310fac3b1dbf53f56b52c1a
femnist,9,109,handle-only-drop-residual,user_macro_accuracy,0.13796875,0.0,,0.141875,100,3200,0.247109375,0.247109375,0.0,0.0,0.9999999868869781,9.214933748786253,4.0,1e-05,,54bb0ce5eab53c34801f1cbad35bd043ac06412f851e4b86f9233adeadfc02dd,23f6f31668b20f841780075ebb4efa9d40d2ec96597937510341e707658bac54,2b231dbad47f38bd391043b8c728d3d2ec5150650310fac3b1dbf53f56b52c1a
femnist,9,109,stable-local-fallback,user_macro_accuracy,0.09828125,1.0,1.0,0.09875,100,3200,1.0,0.0,1.0,0.9999999952316284,0.9999999952316284,9.214933748786253,4.0,1e-05,,bce9117eae8df6f0c8517c16ebf2fb08d32561294ce81896259b66a10463d52f,23f6f31668b20f841780075ebb4efa9d40d2ec96597937510341e707658bac54,2b231dbad47f38bd391043b8c728d3d2ec5150650310fac3b1dbf53f56b52c1a
femnist,9,109,unitscope-lambda-sweep,user_macro_accuracy,0.1325,0.04287482153588985,1.0,0.135,100,3200,1.0,0.247109375,0.752890625,0.9999999833106995,0.9999999785423279,9.214933748786253,4.0,1e-05,,fbac29e82faf5c6bb8e8312fbcae6fe1dedb0b2ca5e14cfbc6649902e5052f24,23f6f31668b20f841780075ebb4efa9d40d2ec96597937510341e707658bac54,2b231dbad47f38bd391043b8c728d3d2ec5150650310fac3b1dbf53f56b52c1a
femnist,10,110,naive-recalibrated-2c,user_macro_accuracy,0.14265625,0.30663383548405976,1.0,0.1459375,100,3200,1.0,0.255078125,0.744921875,0.9999999904632568,0.9999999797344208,9.214933748786253,4.0,1e-05,,11e881ed55de5a4f927091a657cd9d4e26ae27d4e0d2e4fe579d8403f7b42412,1108c021e5149961249402d5691007ca1f81b4a5a626ceb11acdac26fbdb6401,331f87bb59f6327b6c70347a6a6926d20ddf07d6feada301e5a66c98b2eb33c5
femnist,10,110,stable-local-fallback,user_macro_accuracy,0.13328125,1.0,1.0,0.1315625,100,3200,1.0,0.0,1.0,0.9999999916553497,0.9999999916553497,9.214933748786253,4.0,1e-05,,5911427a7e4357cf9810086ae9cd0a632c78aafe4f2063daae6212dca87bd723,1108c021e5149961249402d5691007ca1f81b4a5a626ceb11acdac26fbdb6401,331f87bb59f6327b6c70347a6a6926d20ddf07d6feada301e5a66c98b2eb33c5
