method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse
handle-only-drop-residual,this-work,user-certified,primary,3,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,1.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.508,0.0,-1.028711510114199e-18,-3.4694469519536136e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,0.248342175066313,0.248342175066313,0.0,0.171,3.0540348552703533,0.0738855999952647,0.0002344326529211,0.0002373605681262
unitscope-equal,this-work,user-certified,primary,3,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.1428571428571428,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.508,0.0,-1.028711510114199e-18,-3.4694469519536136e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,1.0,0.248342175066313,0.751657824933687,1.0,1.457289191475545,0.073691300000064,0.0002875860126596,0.0002845788482133
unitscope-tuned,this-work,user-certified,primary,3,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.508,0.0,-1.028711510114199e-18,-3.4694469519536136e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.2426967729710123,0.0676915999938501,0.0003081592329482,0.0003035198437984
naive-recalibrated-2c,this-work,user-certified,primary,3,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.508,0.0,-1.028711510114199e-18,-3.4694469519536136e-17,0.0,3.4694469519536136e-17,2.0,2.0,plan-delta,2.0,1.0,0.248342175066313,0.751657824933687,0.7843953185955787,1.972634719589342,0.1004313000012189,0.0001357489805166,0.0001804611923855
full-identity-reference,oracle,oracle-assumption,full-identity-reference,3,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.508,0.0,-1.028711510114199e-18,-3.4694469519536136e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,1.0,5.864312315378012,0.3731752000021515,0.0,1.4295995470253786e-05
non-private-reference,oracle,non-private,diagnostic,3,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.508,0.0,-1.028711510114199e-18,-3.4694469519536136e-17,0.0,3.4694469519536136e-17,,,non-private,0.0,1.0,0.0,0.0,0.0,inf,0.0469520000042393,0.0001560967403371,0.0001560967403371
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,3,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.508,0.0,-1.028711510114199e-18,-3.4694469519536136e-17,0.0,3.4694469519536136e-17,,2.0,unsafe-diagnostic,1.0,1.0,0.248342175066313,0.751657824933687,0.7843953185955787,3.945269439178684,0.0600993999978527,0.0001357489805166,0.0001438090909808
stable-local-fallback,this-work,user-certified,primary,4,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.502,0.0,5.071128886446146e-19,-3.0704605524789466e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.083410149901307,0.0511301999940769,0.0002817095259276,0.0002871015571227
handle-only-drop-residual,this-work,user-certified,primary,4,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,1.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.502,0.0,5.071128886446146e-19,-3.0704605524789466e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,0.2470039946737683,0.2470039946737683,0.0,0.158,3.014934876751891,0.0593632999953115,0.0002737620568974,0.0003016309663547
unitscope-equal,this-work,user-certified,primary,4,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.1428571428571428,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.502,0.0,5.071128886446146e-19,-3.0704605524789466e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,1.0,0.2470039946737683,0.7529960053262317,1.0,1.2814357545618331,0.0620291999948676,0.0002623757249261,0.0002716105153167
